scenario,thread_id,seq,question,ok,err_type,err_msg,t_total,t_retrieve,t_generate,t_citation,t_db,http_status,cold,ts
web,0,0,,True,,,0.6305528999655508,0.0,0.0,0.0,0.0,200,False,1787940263.7261202
web,0,1,,True,,,0.00685990002239123,0.0,0.0,0.0,0.0,200,False,1787940269.357447
web,0,2,,True,,,0.02460520004387945,0.0,0.0,0.0,0.0,200,False,1787940274.364749
web,0,3,,True,,,0.003350700018927455,0.0,0.0,0.0,0.0,200,False,1787940279.3896182
web,0,4,,True,,,0.004916700010653585,0.0,0.0,0.0,0.0,200,False,1787940284.3932674
web,0,5,,True,,,0.007899800024461001,0.0,0.0,0.0,0.0,200,False,1787940289.3988106
web,0,6,,True,,,0.01801309996517375,0.0,0.0,0.0,0.0,200,False,1787940294.407103
web,0,7,,True,,,0.004417399992235005,0.0,0.0,0.0,0.0,200,False,1787940299.4256105
web,0,8,,True,,,0.02817429997958243,0.0,0.0,0.0,0.0,200,False,1787940304.4303021
web,0,9,,True,,,0.0023108000168576837,0.0,0.0,0.0,0.0,200,False,1787940309.4587617
web,1,0,,True,,,0.5035644000163302,0.0,0.0,0.0,0.0,200,False,1787940263.7741086
web,1,1,,True,,,0.02582729997811839,0.0,0.0,0.0,0.0,200,False,1787940269.2777722
web,1,2,,True,,,0.02034520002780482,0.0,0.0,0.0,0.0,200,False,1787940274.3042197
web,1,3,,True,,,0.0027603000053204596,0.0,0.0,0.0,0.0,200,False,1787940279.3251095
web,1,4,,True,,,0.020269499975256622,0.0,0.0,0.0,0.0,200,False,1787940284.3285763
web,1,5,,True,,,0.004656400007661432,0.0,0.0,0.0,0.0,200,False,1787940289.3497653
web,1,6,,True,,,0.02315019996603951,0.0,0.0,0.0,0.0,200,False,1787940294.3550622
web,1,7,,True,,,0.004239500034600496,0.0,0.0,0.0,0.0,200,False,1787940299.3784642
web,1,8,,True,,,0.0021875000093132257,0.0,0.0,0.0,0.0,200,False,1787940304.38298
web,1,9,,True,,,0.02364520000992343,0.0,0.0,0.0,0.0,200,False,1787940309.3857121
web,2,0,,True,,,0.8826247000251897,0.0,0.0,0.0,0.0,200,False,1787940263.5135365
web,2,1,,True,,,0.028037399984896183,0.0,0.0,0.0,0.0,200,False,1787940269.3969097
web,2,2,,True,,,0.027789399959146976,0.0,0.0,0.0,0.0,200,False,1787940274.425427
web,2,3,,True,,,0.027604900009464473,0.0,0.0,0.0,0.0,200,False,1787940279.4535182
web,2,4,,True,,,0.006912000011652708,0.0,0.0,0.0,0.0,200,False,1787940284.4812098
web,2,5,,True,,,0.0034280999680049717,0.0,0.0,0.0,0.0,200,False,1787940289.488469
web,2,6,,True,,,0.013684300007298589,0.0,0.0,0.0,0.0,200,False,1787940294.4924886
web,2,7,,True,,,0.01772449997952208,0.0,0.0,0.0,0.0,200,False,1787940299.506377
web,2,8,,True,,,0.006169000000227243,0.0,0.0,0.0,0.0,200,False,1787940304.5249465
web,2,9,,True,,,0.022279799974057823,0.0,0.0,0.0,0.0,200,False,1787940309.531794
web,3,0,,True,,,0.43905980000272393,0.0,0.0,0.0,0.0,200,False,1787940263.77326
web,3,1,,True,,,0.031319100002292544,0.0,0.0,0.0,0.0,200,False,1787940269.2129693
web,3,2,,True,,,0.012431499955710024,0.0,0.0,0.0,0.0,200,False,1787940274.245005
web,3,3,,True,,,0.025196500006131828,0.0,0.0,0.0,0.0,200,False,1787940279.2579281
web,3,4,,True,,,0.005331499967724085,0.0,0.0,0.0,0.0,200,False,1787940284.2838204
web,3,5,,True,,,0.031129500013776124,0.0,0.0,0.0,0.0,200,False,1787940289.2895427
web,3,6,,True,,,0.0023840999929234385,0.0,0.0,0.0,0.0,200,False,1787940294.3212578
web,3,7,,True,,,0.024359600036405027,0.0,0.0,0.0,0.0,200,False,1787940299.3240979
web,3,8,,True,,,0.012879899994004518,0.0,0.0,0.0,0.0,200,False,1787940304.3485234
web,3,9,,True,,,0.016229200002271682,0.0,0.0,0.0,0.0,200,False,1787940309.3615518
web,4,0,,True,,,0.8788560999673791,0.0,0.0,0.0,0.0,200,False,1787940263.5137212
web,4,1,,True,,,0.016287499980535358,0.0,0.0,0.0,0.0,200,False,1787940269.3931835
web,4,2,,True,,,0.02541390003170818,0.0,0.0,0.0,0.0,200,False,1787940274.409885
web,4,3,,True,,,0.010206600010860711,0.0,0.0,0.0,0.0,200,False,1787940279.435471
web,4,4,,True,,,0.030037200020160526,0.0,0.0,0.0,0.0,200,False,1787940284.4459195
web,4,5,,True,,,0.004319900006521493,0.0,0.0,0.0,0.0,200,False,1787940289.4762807
web,4,6,,True,,,0.006430600013118237,0.0,0.0,0.0,0.0,200,False,1787940294.4807332
web,4,7,,True,,,0.010132099967449903,0.0,0.0,0.0,0.0,200,False,1787940299.4874198
web,4,8,,True,,,0.011479400040116161,0.0,0.0,0.0,0.0,200,False,1787940304.4979165
web,4,9,,True,,,0.02754879998974502,0.0,0.0,0.0,0.0,200,False,1787940309.509679
web,5,0,,True,,,0.697244499984663,0.0,0.0,0.0,0.0,200,False,1787940263.5136375
web,5,1,,True,,,0.01504430000204593,0.0,0.0,0.0,0.0,200,False,1787940269.2113552
web,5,2,,True,,,0.020362499984912574,0.0,0.0,0.0,0.0,200,False,1787940274.2274096
web,5,3,,True,,,0.03215410001575947,0.0,0.0,0.0,0.0,200,False,1787940279.2502735
web,5,4,,True,,,0.004158700001426041,0.0,0.0,0.0,0.0,200,False,1787940284.2833567
web,5,5,,True,,,0.03133950004121289,0.0,0.0,0.0,0.0,200,False,1787940289.2878327
web,5,6,,True,,,0.0027724000392481685,0.0,0.0,0.0,0.0,200,False,1787940294.3196504
web,5,7,,True,,,0.025752399989869446,0.0,0.0,0.0,0.0,200,False,1787940299.3225894
web,5,8,,True,,,0.013208299991674721,0.0,0.0,0.0,0.0,200,False,1787940304.3487284
web,5,9,,True,,,0.01561760000186041,0.0,0.0,0.0,0.0,200,False,1787940309.362473
web,6,0,,True,,,0.697386700019706,0.0,0.0,0.0,0.0,200,False,1787940263.513775
web,6,1,,True,,,0.031176499964203686,0.0,0.0,0.0,0.0,200,False,1787940269.2120693
web,6,2,,True,,,0.01647249999223277,0.0,0.0,0.0,0.0,200,False,1787940274.24482
web,6,3,,True,,,0.018401799956336617,0.0,0.0,0.0,0.0,200,False,1787940279.2624528
web,6,4,,True,,,0.007893199974205345,0.0,0.0,0.0,0.0,200,False,1787940284.2823496
web,6,5,,True,,,0.028312900045420974,0.0,0.0,0.0,0.0,200,False,1787940289.2903929
web,6,6,,True,,,0.027311299985740334,0.0,0.0,0.0,0.0,200,False,1787940294.3194776
web,6,7,,True,,,0.01718060002895072,0.0,0.0,0.0,0.0,200,False,1787940299.3470037
web,6,8,,True,,,0.014654900005552918,0.0,0.0,0.0,0.0,200,False,1787940304.3644547
web,6,9,,True,,,0.0029746000072918832,0.0,0.0,0.0,0.0,200,False,1787940309.3797421
web,7,0,,True,,,0.844610299973283,0.0,0.0,0.0,0.0,200,False,1787940263.514157
web,7,1,,True,,,0.028233899967744946,0.0,0.0,0.0,0.0,200,False,1787940269.3598027
web,7,2,,True,,,0.010117399971932173,0.0,0.0,0.0,0.0,200,False,1787940274.388755
web,7,3,,True,,,0.0019490999984554946,0.0,0.0,0.0,0.0,200,False,1787940279.3992908
web,7,4,,True,,,0.0015235000173561275,0.0,0.0,0.0,0.0,200,False,1787940284.4014893
web,7,5,,True,,,0.020765800029039383,0.0,0.0,0.0,0.0,200,False,1787940289.4036176
web,7,6,,True,,,0.018268499989062548,0.0,0.0,0.0,0.0,200,False,1787940294.4247572
web,7,7,,True,,,0.005247600027360022,0.0,0.0,0.0,0.0,200,False,1787940299.4444304
web,7,8,,True,,,0.0077553000301122665,0.0,0.0,0.0,0.0,200,False,1787940304.4514308
web,7,9,,True,,,0.03179179999278858,0.0,0.0,0.0,0.0,200,False,1787940309.4595292
web,8,0,,True,,,0.8248710000189021,0.0,0.0,0.0,0.0,200,False,1787940263.5139546
web,8,1,,True,,,0.008188000007066876,0.0,0.0,0.0,0.0,200,False,1787940269.3391676
web,8,2,,True,,,0.003691099991556257,0.0,0.0,0.0,0.0,200,False,1787940274.3477092
web,8,3,,True,,,0.021595099999103695,0.0,0.0,0.0,0.0,200,False,1787940279.3519766
web,8,4,,True,,,0.022468999959528446,0.0,0.0,0.0,0.0,200,False,1787940284.373789
web,8,5,,True,,,0.027918900013901293,0.0,0.0,0.0,0.0,200,False,1787940289.3966143
